,geocode,state,sum_cases,POP22,inc,n_last_ep,year_first_ep,year_last_ep_before_2023,region,region_codes,start_train_chik,end_train_chik
0,2211001,PI,2325,868523,267.6958468572508,4,2015,2022,ne,1,2014-10-01,2022-11-01
1,2913606,BA,1858,197163,942.3674827427053,2,2015,2016,ne,1,2014-10-01,2016-11-01
2,2914802,BA,1846,185500,995.1482479784366,2,2016,2022,ne,1,2015-10-01,2022-11-01
3,2111300,MA,1788,1061374,168.46088183807026,2,2016,2022,ne,1,2015-10-01,2022-11-01
4,2925303,BA,1687,158736,1062.7708900312468,2,2016,2017,ne,1,2015-10-01,2017-11-01
5,2304400,CE,1513,2596157,58.278447720996844,3,2016,2022,ne,1,2015-10-01,2022-11-01
6,2611606,PE,1154,1494586,77.21201724089481,5,2015,2022,ne,1,2014-10-01,2022-11-01
7,2927408,BA,1148,2610987,43.96804733229235,2,2019,2020,ne,1,2018-10-01,2020-11-01
8,2933307,BA,868,387524,223.98612731082463,3,2020,2022,ne,1,2019-10-01,2022-11-01
9,2806701,SE,817,95700,853.7095088819227,3,2016,2022,ne,1,2015-10-01,2022-11-01
10,2800308,SE,705,605309,116.46943957548955,5,2015,2022,ne,1,2014-10-01,2022-11-01
11,2928703,BA,660,103055,640.4347193246325,1,2016,2016,ne,1,2015-10-01,2016-11-01
12,2313203,CE,624,24812,2514.9121392874417,2,2016,2022,ne,1,2015-10-01,2022-11-01
13,2802106,SE,615,64771,949.4990041839712,4,2015,2021,ne,1,2014-10-01,2021-11-01
15,2924702,BA,559,9158,6103.952828128412,1,2022,2022,ne,1,2021-10-01,2022-11-01
16,2507507,PB,533,889618,59.91335606968384,5,2016,2022,ne,1,2015-10-01,2022-11-01
17,2103000,MA,505,153634,328.70328182563753,2,2016,2022,ne,1,2015-10-01,2022-11-01
19,2931350,BA,483,147454,327.55978135554136,5,2016,2022,ne,1,2015-10-01,2022-11-01
20,3143302,MG,18364,436970,4202.576835938394,1,2022,2022,sud,3,2021-10-01,2022-11-01
23,3131307,MG,5529,211094,2619.2122940490967,2,2017,2018,sud,3,2016-10-01,2018-11-01
24,3168606,MG,3688,142030,2596.6345138351053,1,2017,2017,sud,3,2016-10-01,2017-11-01
27,3135050,MG,3272,36945,8856.408174313168,1,2022,2022,sud,3,2021-10-01,2022-11-01
28,3135209,MG,3233,65279,4952.5881217543165,1,2022,2022,sud,3,2021-10-01,2022-11-01
35,3548500,SP,1375,414029,332.10234065729696,2,2021,2022,sud,3,2020-10-01,2022-11-01
38,3112703,MG,1218,14633,8323.652019408188,1,2022,2022,sud,3,2021-10-01,2022-11-01
45,4202008,SC,111,140036,79.2653317718301,1,2021,2021,sul,4,2020-10-01,2021-11-01
59,5002308,MS,556,11634,4779.095753824996,1,2022,2022,ceo,0,2021-10-01,2022-11-01
64,5212501,GO,339,196416,172.5928641251222,1,2022,2022,ceo,0,2021-10-01,2022-11-01
68,5005806,MS,195,15255,1278.2694198623403,2,2021,2022,ceo,0,2020-10-01,2022-11-01
72,5002951,MS,170,30497,557.4318785454307,2,2021,2022,ceo,0,2020-10-01,2022-11-01
73,1716109,TO,5124,51494,9950.673864916302,1,2022,2022,no,2,2021-10-01,2022-11-01
74,1721000,TO,3523,334454,1053.3586083586981,2,2017,2022,no,2,2016-10-01,2022-11-01
76,1100205,RO,485,461748,105.03564714952745,2,2016,2019,no,2,2015-10-01,2019-11-01
77,1501402,PA,335,1367336,24.500196001568014,2,2018,2019,no,2,2017-10-01,2019-11-01
78,1502400,PA,296,200003,147.9977800332995,2,2018,2021,no,2,2017-10-01,2021-11-01
80,1718204,TO,231,71101,324.8899452890958,1,2022,2022,no,2,2021-10-01,2022-11-01
83,1200401,AC,186,364368,51.04729284679225,1,2016,2016,no,2,2015-10-01,2016-11-01
86,1707108,TO,144,7065,2038.216560509554,1,2022,2022,no,2,2021-10-01,2022-11-01
87,1504422,PA,139,123890,112.19630317216885,2,2017,2018,no,2,2016-10-01,2018-11-01
88,1400100,RR,137,408157,33.56551523065879,2,2015,2017,no,2,2014-10-01,2017-11-01
